Date,Open,High,Low,Close,Adj Close,Volume
2023-01-09,111.300003,111.720001,110.320000,111.620003,108.788719,2947895
2023-01-10,111.059998,111.480003,110.540001,111.379997,108.554794,2198990
2023-01-11,111.160004,114.000000,111.139999,112.980003,110.114220,3999395
2023-01-12,114.000000,114.519997,113.300003,113.580002,110.698997,3336729
2023-01-13,113.599998,114.379997,113.300003,113.959999,111.069359,2022738
2023-01-16,114.180000,115.180000,113.800003,115.180000,112.258415,2646083
2023-01-17,114.900002,115.120003,114.120003,114.599998,111.693123,2701054
2023-01-18,114.379997,114.400002,112.300003,112.440002,109.587914,4151210
2023-01-19,112.320000,113.800003,112.080002,112.320000,109.470955,3587442
2023-01-20,112.680000,112.900002,111.879997,112.040001,109.198059,2518344
2023-01-23,112.400002,113.239998,112.059998,113.180000,110.309143,1990121
2023-01-24,113.059998,113.400002,112.160004,112.559998,109.704865,2484363
2023-01-25,112.580002,112.720001,112.000000,112.699997,109.841316,2456467
2023-01-26,112.680000,113.080002,109.720001,109.800003,107.014877,4279745
2023-01-27,110.059998,110.779999,109.279999,109.540001,106.761475,2739852
2023-01-30,109.680000,111.400002,109.500000,111.180000,108.359871,3158154
2023-01-31,110.919998,112.199997,110.620003,111.480003,108.652267,4436404
2023-02-01,111.639999,111.699997,110.680000,111.019997,108.203926,2101163
2023-02-02,111.400002,111.500000,109.480003,109.820000,107.034370,4047363
2023-02-03,109.559998,111.900002,109.500000,111.779999,108.944656,2731846
2023-02-06,111.639999,111.779999,110.940002,111.480003,108.652267,2384681
2023-02-07,111.120003,111.519997,109.680000,110.040001,107.248795,3232274
2023-02-08,110.279999,111.099998,110.080002,110.379997,107.580162,3560157
2023-02-09,110.919998,110.940002,109.000000,109.000000,106.235168,4057979
2023-02-10,109.019997,109.739998,108.760002,109.480003,106.702995,3287162
2023-02-13,109.699997,111.099998,109.580002,110.959999,108.145454,2388281
2023-02-14,111.059998,111.900002,110.940002,111.300003,108.476830,2406160
2023-02-15,110.760002,111.059998,110.220001,110.699997,107.892044,2683604
2023-02-16,110.019997,111.080002,107.339996,107.900002,105.163071,4330748
2023-02-17,107.500000,109.440002,106.820000,109.279999,106.508064,3773025
2023-02-20,109.879997,109.879997,108.839996,109.540001,106.761475,1981580
2023-02-21,109.160004,109.839996,108.639999,109.620003,106.839447,2922432
2023-02-22,109.800003,110.480003,108.919998,110.360001,107.560677,2256549
2023-02-23,110.279999,110.320000,108.660004,108.660004,105.903801,3876740
2023-02-24,109.000000,109.400002,107.559998,108.320000,105.572418,3413004
2023-02-27,108.519997,109.339996,108.379997,108.639999,105.884300,4944147
2023-02-28,108.019997,108.400002,106.080002,106.080002,103.389236,9127287
2023-03-01,106.080002,106.540001,105.519997,105.599998,102.921410,5450678
2023-03-02,105.339996,108.099998,105.099998,107.739998,105.007126,3997088
2023-03-03,108.000000,108.080002,107.059998,107.559998,104.831696,2318354
2023-03-06,106.379997,106.739998,105.000000,105.000000,102.336632,3598786
2023-03-07,105.019997,105.879997,104.660004,105.180000,102.512070,2936247
2023-03-08,105.180000,105.820000,104.680000,105.320000,102.648514,3205451
2023-03-09,105.720001,106.099998,105.139999,105.660004,102.979897,3523789
2023-03-10,105.400002,106.300003,105.059998,105.459999,102.784966,3863365
2023-03-13,105.639999,107.139999,104.779999,106.760002,104.051994,5107523
2023-03-14,106.839996,107.160004,105.820000,107.160004,104.441849,3874849
2023-03-15,107.199997,107.519997,105.680000,107.239998,104.519814,4622148
2023-03-16,107.820000,109.900002,107.680000,109.739998,106.956398,5109647
2023-03-17,110.379997,110.419998,108.680000,109.339996,106.566544,13466684
2023-03-20,108.660004,109.620003,108.199997,108.980003,106.215683,2826727
2023-03-21,109.339996,109.500000,107.720001,107.940002,105.202057,4036339
2023-03-22,107.980003,110.120003,107.800003,109.660004,106.878433,3660890
2023-03-23,109.260002,109.639999,108.699997,109.639999,106.858932,3172118
2023-03-24,109.559998,110.339996,108.860001,109.639999,106.858932,3609569
2023-03-27,110.279999,110.839996,109.279999,109.540001,106.761475,3381225
2023-03-28,109.879997,111.279999,109.419998,110.260002,107.463211,4600031
2023-03-29,110.320000,112.120003,110.320000,112.000000,109.159073,3304393
