Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bangladesh,BGD,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,6.257481579,0.022223496,5.164059022,-8.743224624,7.931704957,6.296188834,14.79196345,-5.769584381,11.8277158,0.510309049,2.963254932,4.402019652,61.40578328,44.5427169,80.5697564,-17.63041929,-3.210155929,25.61888559,12.56450599,17.55506709,9.894690312,9.855812463,8.487755878,7.875566349,18.4951157,8.254404894,11.11963117,7.495835297,8.33797325,6.532735292,2.729531995,2.5821619,0.155518173,3.966216316,7.144938703,19.14321311,3.800232201,4.736212562,3.781037737,3.446659349,3.261160132,3.892867435,5.815816648,4.56213638,4.586360706,5.875935811,6.471260105,7.860966094,6.764354681,7.144663028,7.859450853,8.164573676,7.174953432,5.668788525,5.872777041,27.85073772,5.047597354,5.80552697,3.658167964,3.841044724,4.121174707,5.049021879
Bulgaria,BGR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,2.820938368,1.916472805,-0.64527173,2.736748496,0.229177128,1.345489615,0.0638388,-5.389743837,6.729684134,26.18800066,226.5378599,59.57864939,51.0910539,72.70496824,135.955619,62.96624432,913.2130996,33.95102856,3.319139594,7.380837467,6.117732792,3.848380241,2.189410227,5.581557426,6.594258587,6.756474286,11.05143171,8.103456232,3.938019326,0.76413,6.112829917,1.112178947,0.071951518,1.34078334,2.947745873,3.323559745,4.813120484,4.234605498,5.239256554,4.260105686,7.134491718,16.18195589
Bahrain,BHR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,18.91176506,13.72399415,-3.689967158,-0.418480068,-1.824994526,-17.39265031,0.659048471,2.009427703,3.974660365,4.826695567,-1.882524863,-3.532652291,-3.025814742,7.331189486,1.090668488,0.196721929,0.931715111,-7.057410565,2.656433743,29.99127655,-3.36382792,3.414349556,8.602580618,10.99108462,13.73496783,8.842436716,8.435632695,11.36509192,-12.99394121,7.441125966,9.736753496,3.014765852,0.384140011,-1.670883004,-9.255156915,0.247278734,5.51968542,4.360061884,0.08326178,-6.067076929,10.52875033,7.730538661
"Bahamas, The",BHS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.160601262,1.08963254,1.343764189,1.505301052,2.011727719,3.77131855,4.713072544,5.163480793,8.925372794,6.145345674,4.58255158,6.786658894,5.55102348,13.23270697,10.65637827,2.389665271,1.728703027,2.247883785,8.554096535,10.00686562,17.68832771,3.695007539,5.976967024,3.17143547,8.460727142,4.660387029,6.586347652,1.484310644,1.813171336,5.073711047,2.556539886,3.905565437,-0.851983748,2.183366578,0.802435337,0.984243641,73.22947024,3.048921327,4.950938924,0.922707425,0.353150705,3.960474325,1.154879054,1.194997591,5.056008398,0.828194507,2.947965812,1.488610688,-1.036380314,-0.392565566,-0.858605323,3.266827067,-0.173120606,3.657930442,5.311787599,1.441328122,1.710664915,0.337046558,3.974680521,-2.345090925,1.018553435,-2.173177483
Bosnia and Herzegovina,BIH,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.84743319,-17.05676337,13.01148218,-1.581925361,8.35572908,21.83624301,4.726117616,5.007866373,1.41086148,2.161971578,6.189015768,7.80012736,6.197569391,7.335351286,0.185466529,1.406293966,2.432527908,0.795773347,-0.224122003,1.000337219,1.365730709,1.333305967,1.778707027,2.791624904,2.471504685,0.06214255,4.860333801,11.77041888
Belarus,BLR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.3767053,1030.776811,1058.714498,1945.748604,661.5040771,53.71432735,71.64957473,76.58044645,316.7934348,185.2907609,79.53457245,44.89373884,30.68532156,22.6751225,18.97216053,10.74861574,12.87270223,21.21353614,9.258661904,11.29047472,71.03882152,75.27736918,21.25729569,18.1049634,16.02323933,8.341004503,8.623535045,12.13923668,8.576908509,11.87787911,15.32641518,13.52777795
Belize,BLZ,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.763026844,1.356964588,0.937659292,2.13617101,5.61061427,5.773933778,3.122443711,1.679358121,0.215932233,7.369642397,5.063903656,-1.235235149,14.67627088,21.71062296,16.87729136,1.157484454,2.242495449,7.349181985,3.585434213,14.94878367,-2.04440242,-6.979994382,7.740755184,9.439079915,-1.805036508,4.202361222,9.581537065,3.726335541,2.045386015,35.03477,-2.4567881,3.409906432,1.877165446,2.637881165,5.315715456,2.748452259,-1.500062169,2.40801256,-1.672313215,1.414097676,-1.955108475,0.719909278,-4.157044074,2.092843423,3.012203046,3.247345731,3.836088306,3.517561299,-2.473301163,2.158666302,4.89924322,0.746406423,1.913552957,1.064820271,0.047314442,2.101941118,3.031933009,0.09585492,-0.130661894,-0.549657421,0.458796255,7.36483426
Bermuda,BMU,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,0.939036517,0.976544539,1.270801433,0.461053036,1.461122996,2.608611011,3.480335622,8.98161461,6.281063126,6.269519404,9.546211564,9.525770761,12.81220965,14.98394773,6.357027206,2.783649199,9.269101097,4.918710256,6.415363401,9.85408707,17.7093913,12.20859197,10.99738108,10.29655249,7.614088168,5.835136714,6.488154179,4.893013973,5.636713147,6.033572309,6.430591169,2.813881101,5.196304589,1.959567968,4.178463515,29.36469761,4.023903102,2.741551106,2.712151203,-4.236356147,-1.369195741,8.580442291,2.824739521,4.692142598,6.762374738,19.57916181,6.574894832,5.108914102,1.04358317,2.236222003,-1.151255981,6.698203692,1.657273194,3.011890877,2.95202007,4.373203842,-0.094833736,1.611116976,2.419351945,-0.415057906,0.457904805,2.865102629
Bolivia,BOL,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,6.548173318,3.561471056,0.824214662,8.385943053,5.891025174,3.315876428,6.232458617,4.58848424,3.719008265,3.960561147,2.538632263,18.9777488,42.94450909,61.54596047,6.695277654,8.598920874,12.54061843,14.10381081,19.79717364,25.04894359,29.48603589,158.2827498,265.1979603,1443.397286,12338.66022,230.1052223,14.58419382,17.5233371,13.18642127,16.26794198,17.68944022,13.19920441,6.557158191,7.952207725,11.42728171,11.58020687,5.705043358,7.051126765,2.411565889,5.195405208,1.870093658,2.820757397,6.329992293,7.967709509,5.94079763,13.66367954,7.373353861,10.38118176,-2.419894328,8.777508116,14.60235424,7.100275501,5.995388369,2.049497726,-4.620602258,-1.354870581,6.061399962,3.056265753,-0.693003272,-1.854386683,3.956119664,5.124464466
Brazil,BRA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,34.61780494,50.24945448,78.41743346,89.53366533,58.9331842,37.93609796,26.52894193,26.70671636,20.05178423,16.25511154,19.38458511,19.86709168,29.5803567,34.605855,33.92943674,41.20362402,45.39805621,38.22761123,54.36596003,92.14194461,100.5288771,101.0343947,131.4840451,201.7402821,248.5436591,149.1793183,206.2087087,627.9514702,1304.424209,2736.970678,416.6780939,969.0129628,1996.150247,2240.168866,93.97804306,18.45624377,7.729023412,4.924361585,8.010500883,5.606065141,8.225094321,9.798112238,14.09102152,7.752060763,7.431224753,6.774274119,6.439038087,8.778552724,7.313482746,8.423338337,8.318592219,7.943126941,7.504564533,7.846709744,7.566175012,8.103604359,3.671384513,4.493534331,4.224258869,6.472499608,11.38406117,8.283206025
